Competidor,Fecha,Producto1,Tipo
Competidor2,08/03/20,43370512.1,Hist—rico
Competidor2,15/03/20,41354043,Hist—rico
Competidor2,22/03/20,49907284.3,Hist—rico
Competidor2,29/03/20,41756097,Hist—rico
Competidor2,05/04/20,39421183.25,Hist—rico
Competidor2,12/04/20,38557215,Hist—rico
Competidor2,19/04/20,41276300,Hist—rico
Competidor2,26/04/20,40614197,Hist—rico
Competidor2,03/05/20,44269845,Hist—rico
Competidor2,10/05/20,45900198.05,Hist—rico
Competidor2,17/05/20,44453790.6,Hist—rico
Competidor2,24/05/20,46099961.3,Hist—rico
Competidor2,07/06/20,47398211.94,Hist—rico
Competidor2,14/06/20,48825964.1,Hist—rico
Competidor2,21/06/20,48371270.3,Hist—rico
Competidor2,28/06/20,47579131.46,Hist—rico
Competidor2,05/07/20,48589206,Hist—rico
Competidor2,12/07/20,47566029.76,Hist—rico
Competidor2,19/07/20,45936019.35,Hist—rico
Competidor2,26/07/20,47348322.75,Hist—rico
Competidor2,02/08/20,46570997.1,Hist—rico
Competidor2,09/08/20,48732352.1,Hist—rico
Competidor2,16/08/20,47017373.95,Hist—rico
Competidor2,23/08/20,47639439.5,Hist—rico
Competidor2,06/09/20,48441506.35,Hist—rico
Competidor2,13/09/20,45538147.7,Hist—rico
Competidor2,20/09/20,45933994.9,Hist—rico
Competidor2,27/09/20,45227517,Hist—rico
Competidor2,30/09/20,45788948.45,Hist—rico
Competidor2,04/10/20,45406189.4,Hist—rico
Competidor2,11/10/20,43776565.7,Hist—rico
Competidor2,18/10/20,44040417.3,Hist—rico
Competidor2,25/10/20,42138096.4,Hist—rico
Competidor2,01/11/20,43764521.8,Hist—rico
Competidor2,08/11/20,42392977.9,Hist—rico
Competidor2,15/11/20,43340935.3,Hist—rico
Competidor2,22/11/20,42583513,Hist—rico
Competidor2,06/12/20,40905114.5,Hist—rico
Competidor2,13/12/20,42233664.5,Hist—rico
Competidor2,20/12/20,40639094,Hist—rico
Competidor2,27/12/20,39933372.4,Hist—rico
Competidor2,29/12/20,39705571.5,Hist—rico
Competidor2,03/01/21,38805749,Hist—rico
Competidor2,10/01/21,40634790,Hist—rico
Competidor2,17/01/21,39137780,Hist—rico
Competidor2,24/01/21,39785576,Hist—rico
Competidor2,07/02/21,39547877.3,Hist—rico
Competidor2,14/02/21,39218705,Hist—rico
Competidor2,21/02/21,38312811.8,Hist—rico
Competidor2,28/02/21,38125319,Hist—rico
Competidor2,04/03/21,42063064.9,Hist—rico
Competidor2,07/03/21,40124189,Hist—rico
Competidor2,14/03/21,39775557.4,Hist—rico
Competidor2,21/03/21,40039598.5,Hist—rico
Competidor2,28/03/21,41098866.3,Hist—rico
Competidor2,02/04/21,41286109.8,Hist—rico
Competidor2,11/04/21,43100347.2,Hist—rico
Competidor2,18/04/21,42334707.5,Hist—rico
Competidor2,25/04/21,42052641,Hist—rico
Competidor2,09/05/21,43546753.5,Hist—rico
Competidor2,16/05/21,41712464,Hist—rico
Competidor2,23/05/21,43161126.3,Hist—rico
Competidor2,30/05/21,45436439,Hist—rico
Competidor2,04/06/21,46892599,Hist—rico
Competidor2,06/06/21,43701086,Hist—rico
Competidor2,13/06/21,44634766,Hist—rico
Competidor2,20/06/21,43930295.5,Hist—rico
Competidor2,27/06/21,44820397,Hist—rico
Competidor2,01/07/21,43629675,Hist—rico
Competidor2,11/07/21,43751449.5,Hist—rico
Competidor2,18/07/21,42985697.5,Hist—rico
Competidor2,25/07/21,43582308.5,Hist—rico
Competidor2,08/08/21,44715778,Hist—rico
Competidor2,15/08/21,43877792.5,Hist—rico
Competidor2,22/08/21,44161009,Hist—rico
Competidor2,29/08/21,42794412.5,Hist—rico
Competidor2,03/09/21,42154771.5,Hist—rico
Competidor2,05/09/21,44307121.1,Hist—rico
Competidor2,12/09/21,42593039.6,Hist—rico
Competidor2,19/09/21,42326751.5,Hist—rico
Competidor2,26/09/21,41961908,Hist—rico
Competidor2,10/10/21,42525649.2,Hist—rico
Competidor2,17/10/21,41357666,Hist—rico
Competidor2,24/10/21,40238373.2,Hist—rico
Competidor2,31/10/21,39870407.1,Hist—rico
Competidor2,07/11/21,40698083.5,Hist—rico
Competidor2,14/11/21,39824827.5,Hist—rico
Competidor2,21/11/21,39897223.5,Hist—rico
Competidor2,28/11/21,36326696,Hist—rico
Competidor2,02/12/21,35728829,Hist—rico
Competidor2,05/12/21,39776213.1,Hist—rico
Competidor2,12/12/21,38704061,Hist—rico
Competidor2,19/12/21,38855562,Hist—rico
Competidor2,26/12/21,37226002,Hist—rico
Competidor2,09/01/22,36155468.5,Hist—rico
Competidor2,16/01/22,34815467,Hist—rico
Competidor2,23/01/22,34406807.5,Hist—rico
