,Fecha,Tipo,Credito_SistemaBancario,Consumo_SistemaBancario,Vivienda_SistemaBancario,Credito_BBVA,Consumo_BBVA,Vivienda_BBVA,Credito_Santander,Consumo_Santander,Vivienda_Santander,Credito_banorte,Consumo_banorte,Vivienda_banorte,Credito_banamex,Consumo_banamex,Vivienda_banamex,Credito_HSBC,Consumo_HSBC,Vivienda_HSBC
57,2026-09-30,Pronostico,8849785.448078996,1236404.3750652398,1432368.9565774763,2297033.8391634603,371573.1617194158,368962.4930650697,891532.214524719,151733.33888834278,240202.54875865488,1323105.4908198856,154594.0688989971,270246.04078383435,457339.7628513172,178327.38305796476,75914.3686393183,579526.1045023084,87159.6209024097,152688.2407249492
58,2026-10-31,Pronostico,8906435.404148944,1236404.3750652305,1432368.9565774763,2313847.851267728,371573.16171941557,368962.4930650697,891532.214524719,151733.33888834275,240202.54875865488,1331945.4331623574,154594.08964309693,274781.7392024677,457297.7692171749,178327.38305796476,75914.3686393183,582785.3449288867,87159.62090240966,152688.27145742995
59,2026-11-30,Pronostico,8963082.312253144,1236404.375065228,1432368.9565774763,2330661.0472905864,371573.1617194155,368962.4930650697,891532.214524719,151733.33888834275,240202.54875865488,1340785.3464941827,154594.10205339178,270246.6998018615,457261.10253983433,178327.38305796476,75914.3686393183,586044.4293281401,87159.62090240965,152688.252584348
60,2026-12-31,Pronostico,9019726.172555588,1236404.3750652273,1432368.9565774763,2347473.4272716446,371573.1617194155,368962.4930650697,891532.214524719,151733.33888834275,240202.54875865488,1349625.2308154567,154594.1094779327,274781.08028019307,457229.08708666725,178327.38305796476,75914.3686393183,589303.3577075378,87159.62090240965,152688.26417447068
61,2027-01-31,Pronostico,9076366.985220257,1236404.375065227,1432368.9565774763,2364284.99125051,371573.1617194155,368962.4930650697,891532.214524719,151733.33888834275,240202.54875865488,1358465.0861262744,154594.1139197134,270247.3586283974,457201.13284276414,178327.38305796476,75914.3686393183,592562.1300745489,87159.62090240965,152688.2570568762
62,2027-02-28,Pronostico,9133004.750411125,1236404.375065227,1432368.9565774763,2381095.739266787,371573.1617194155,368962.4930650697,891532.214524719,151733.33888834275,240202.54875865488,1367304.9124267313,154594.11657703805,274780.42154938186,457176.72463751043,178327.38305796476,75914.3686393183,595820.746436642,87159.62090240965,152688.26142785247
63,2027-03-31,Pronostico,9189639.468292156,1236404.375065227,1432368.9565774763,2397905.67136008,371573.1617194155,368962.4930650697,891532.214524719,151733.33888834275,240202.54875865488,1376144.7097169224,154594.1181668001,270248.0172634978,457155.41265047283,178327.38305796476,75914.3686393183,599079.2068012855,87159.62090240965,152688.25874359818
64,2027-04-30,Pronostico,9246271.139027307,1236404.375065227,1432368.9565774763,2414714.7875699904,371573.1617194155,368962.4930650697,891532.214524719,151733.33888834275,240202.54875865488,1384984.4779969428,154594.11911788574,274779.7630099784,457136.804121629,178327.38305796476,75914.3686393183,602337.5111759474,87159.62090240965,152688.26039202194
65,2027-05-31,Pronostico,9302899.762780525,1236404.375065227,1432368.9565774763,2431523.0879361173,371573.1617194155,368962.4930650697,891532.214524719,151733.33888834275,240202.54875865488,1393824.217266888,154594.119686879,270248.67570721824,457120.55611316685,178327.38305796476,75914.3686393183,605595.6595680952,87159.62090240965,152688.25937971068
66,2027-06-30,Pronostico,9359525.339715747,1236404.375065227,1432368.9565774763,2448330.5724980584,371573.1617194155,368962.4930650697,891532.214524719,151733.33888834275,240202.54875865488,1402663.9275268528,154594.120027283,274779.1046619271,457106.369189461,178327.38305796476,75914.3686393183,608853.6519851962,87159.62090240965,152688.26000137976
